jira_key,priority,squad,ticket_name,creation_date
AERIS-6249,medium,Forge,"Webhook processing times out after 30 seconds for read-only users, blocking release verification",2023-02-23T03:25:57.442Z
AERIS-6247,medium,Orbit,"Report scheduler creates duplicate notifications when reconnecting after offline mode, affecting customer reporting",2023-02-26T19:04:02.066Z
AERIS-5925,medium,Forge,"Dashboard filters emits malformed timestamps on dashboards with large datasets, affecting customer reporting",2023-02-28T19:24:17.682Z
AERIS-5997,low,Horizon,"Release notes sync locks up under heavy load during peak traffic, breaking audit requirements",2023-03-02T10:03:59.455Z
AERIS-6156,low,Orbit,"Dashboard filters returns a 500 error after timezone changes, blocking release verification",2023-03-03T03:43:29.876Z
AERIS-6326,medium,Horizon,"Report scheduler does not persist settings for read-only users, impacting executive dashboard confidence",2023-03-03T09:25:28.161Z
AERIS-6279,low,Horizon,"Webhook processing rejects valid payloads after enabling feature flags, blocking release verification",2023-03-04T01:51:51.143Z
AERIS-6264,medium,Horizon,"Webhook processing emits malformed timestamps on mobile portrait mode, causing inaccurate KPIs",2023-03-04T22:53:02.335Z
AERIS-6211,medium,Forge,"Bug trend chart rejects valid payloads on mobile portrait mode, blocking release verification",2023-03-05T10:21:57.111Z
AERIS-6200,low,Forge,"Alert routing renders blank state unexpectedly when switching squads, slowing engineering triage",2023-03-05T10:47:21.400Z
AERIS-6372,low,Forge,"PR analytics panel resets pagination unexpectedly after toggling date level, creating noisy support alerts",2023-03-05T11:11:01.453Z
AERIS-6186,high,Horizon,"Mobile layout shows stale data on dashboards with large datasets, creating noisy support alerts",2023-03-06T02:20:20.693Z
AERIS-6119,low,Forge,"Webhook processing times out after 30 seconds when using Safari, blocking release verification",2023-03-08T20:20:47.765Z
AERIS-6159,low,Forge,"PR analytics panel rejects valid payloads after toggling date level, affecting customer reporting",2023-03-12T06:45:32.560Z
AERIS-6244,low,Horizon,"Dashboard filters rejects valid payloads for repositories with archived branches, affecting customer reporting",2023-03-15T13:21:12.619Z
AERIS-6266,medium,Forge,"PR analytics panel drops user-selected filters after enabling feature flags, breaking audit requirements",2023-03-17T19:01:02.342Z
AERIS-6128,low,Horizon,"Audit trail ignores retry backoff on dashboards with large datasets, slowing engineering triage",2023-03-17T21:21:16.210Z
AERIS-6252,low,Forge,"Audit trail duplicates records when API latency spikes, breaking audit requirements",2023-03-21T14:40:34.921Z
AERIS-6302,medium,Forge,"SAML login fails silently when reconnecting after offline mode, slowing engineering triage",2023-03-21T23:04:48.232Z
AERIS-6321,low,Orbit,"Webhook processing drops user-selected filters when using Safari, causing inaccurate KPIs",2023-03-22T09:14:41.237Z
AERIS-6188,low,Forge,"Webhook processing shows stale data when switching squads, blocking release verification",2023-03-24T05:21:46.844Z
AERIS-6179,medium,Orbit,"CSV export loads with incorrect totals when API latency spikes, affecting customer reporting",2023-03-25T01:22:33.739Z
AERIS-6099,medium,Forge,"Timezone rendering drops user-selected filters when API latency spikes, breaking audit requirements",2023-03-28T12:15:11.388Z
AERIS-5902,low,Horizon,"Notification center truncates long values after timezone changes, blocking release verification",2023-03-29T16:32:35.070Z
AERIS-6102,medium,Orbit,"Search indexing leaks memory over long sessions on dashboards with large datasets, affecting customer reporting",2023-03-30T02:04:12.691Z
AERIS-6347,low,Horizon,"CSV export reports incorrect line counts during concurrent edits, affecting customer reporting",2023-04-03T01:46:33.869Z
AERIS-6292,medium,Forge,"Notification center leaks memory over long sessions on dashboards with large datasets, blocking release verification",2023-04-04T16:05:25.462Z
AERIS-5975,low,Forge,"CSV export leaks memory over long sessions for repositories with archived branches, creating noisy support alerts",2023-04-07T19:01:47.244Z
AERIS-6085,medium,Forge,"Mobile layout ignores retry backoff for repositories with archived branches, impacting executive dashboard confidence",2023-04-10T00:07:56.679Z
AERIS-6210,medium,Orbit,"Bug trend chart truncates long values on mobile portrait mode, causing inaccurate KPIs",2023-04-10T01:59:54.738Z
AERIS-5922,low,Horizon,"Release notes sync times out after 30 seconds on first load after deploy, causing inaccurate KPIs",2023-04-12T13:30:02.194Z
AERIS-5963,high,Horizon,"SAML login renders blank state unexpectedly on first load after deploy, creating noisy support alerts",2023-04-12T18:59:47.277Z
AERIS-6173,high,Orbit,"Timezone rendering creates duplicate notifications for repositories with archived branches, impacting weekly operations review",2023-04-12T23:05:46.266Z
AERIS-6386,medium,Horizon,"Timezone rendering renders blank state unexpectedly during peak traffic, causing inaccurate KPIs",2023-04-15T08:17:50.933Z
AERIS-5946,low,Horizon,"Release notes sync does not persist settings on dashboards with large datasets, affecting customer reporting",2023-04-17T10:44:16.960Z
AERIS-5929,low,Horizon,"PR analytics panel loads with incorrect totals when reconnecting after offline mode, creating noisy support alerts",2023-04-19T01:34:41.914Z
AERIS-5928,medium,Forge,"API rate limiter drops user-selected filters after timezone changes, slowing engineering triage",2023-04-20T06:53:01.042Z
AERIS-6299,medium,Horizon,"Background worker creates duplicate notifications when API latency spikes, impacting weekly operations review",2023-04-20T07:15:46.419Z
AERIS-6001,low,Horizon,"Report scheduler locks up under heavy load on first load after deploy, causing inaccurate KPIs",2023-04-21T19:22:17.648Z
AERIS-5899,low,Forge,"Embed auth flow leaks memory over long sessions during peak traffic, affecting customer reporting",2023-04-22T15:06:06.119Z
AERIS-6288,medium,Orbit,"Timezone rendering ignores retry backoff after enabling feature flags, affecting customer reporting",2023-04-23T12:09:02.314Z
AERIS-6271,low,Orbit,"PR analytics panel rejects valid payloads on mobile portrait mode, affecting customer reporting",2023-04-23T16:04:37.629Z
AERIS-6057,high,Horizon,"Background worker misclassifies priority labels after toggling date level, creating noisy support alerts",2023-04-24T12:44:21.295Z
AERIS-6093,low,Forge,"Release notes sync renders blank state unexpectedly when switching squads, impacting executive dashboard confidence",2023-04-26T20:02:00.019Z
AERIS-6172,low,Orbit,"Release notes sync renders blank state unexpectedly during peak traffic, creating noisy support alerts",2023-04-27T20:26:19.235Z
AERIS-6365,low,Horizon,"Alert routing leaks memory over long sessions after token refresh, impacting executive dashboard confidence",2023-04-29T16:37:52.799Z
AERIS-6198,high,Forge,"Alert routing renders blank state unexpectedly when switching squads, breaking audit requirements",2023-05-03T22:29:11.208Z
AERIS-6122,low,Orbit,"SAML login loads with incorrect totals for read-only users, breaking audit requirements",2023-05-04T09:11:48.111Z
AERIS-6367,medium,Orbit,"Repository insights shows stale data when exporting to CSV, breaking audit requirements",2023-05-12T03:02:02.357Z
AERIS-6341,medium,Orbit,"Billing webhook times out after 30 seconds when reconnecting after offline mode, causing inaccurate KPIs",2023-05-18T17:27:59.057Z
AERIS-6054,medium,Orbit,"Search indexing renders blank state unexpectedly when using Safari, slowing engineering triage",2023-05-22T07:22:11.626Z
AERIS-6212,low,Forge,"SAML login misclassifies priority labels when exporting to CSV, slowing engineering triage",2023-05-23T15:31:05.908Z
AERIS-5924,low,Orbit,"Notification center loads with incorrect totals when API latency spikes, impacting executive dashboard confidence",2023-05-25T17:15:31.320Z
AERIS-6180,medium,Horizon,"Audit trail loads with incorrect totals after enabling feature flags, breaking audit requirements",2023-05-25T23:59:57.270Z
AERIS-6090,medium,Orbit,"Role permissions returns a 500 error on mobile portrait mode, impacting weekly operations review",2023-05-27T18:14:59.018Z
AERIS-5992,high,Horizon,"Dashboard filters duplicates records after timezone changes, blocking release verification",2023-05-28T16:49:31.012Z
AERIS-5942,high,Horizon,"Release notes sync shows inconsistent sorting on dashboards with large datasets, breaking audit requirements",2023-05-31T19:58:05.778Z
AERIS-6129,low,Orbit,"Release notes sync locks up under heavy load after timezone changes, impacting weekly operations review",2023-06-01T15:21:00.816Z
AERIS-6289,high,Orbit,"SAML login does not persist settings for read-only users, creating noisy support alerts",2023-06-03T21:22:19.184Z
AERIS-6378,low,Orbit,"Mobile layout shows inconsistent sorting when switching squads, creating noisy support alerts",2023-06-06T00:47:06.117Z
AERIS-5965,low,Forge,"API rate limiter returns a 500 error when API latency spikes, causing inaccurate KPIs",2023-06-07T15:10:58.442Z
AERIS-6259,medium,Orbit,"Webhook processing emits malformed timestamps on dashboards with large datasets, blocking release verification",2023-06-07T15:38:51.866Z
AERIS-6043,medium,Forge,"Role permissions resets pagination unexpectedly after enabling feature flags, impacting weekly operations review",2023-06-10T11:42:52.086Z
AERIS-5966,medium,Forge,"Report scheduler duplicates records when exporting to CSV, slowing engineering triage",2023-06-12T00:38:00.858Z
AERIS-6131,high,Orbit,"Webhook processing creates duplicate notifications after timezone changes, affecting customer reporting",2023-06-15T00:54:18.848Z
AERIS-6381,medium,Forge,"Mobile layout locks up under heavy load on first load after deploy, slowing engineering triage",2023-06-23T00:43:22.556Z
AERIS-6035,low,Forge,"Background worker reports incorrect line counts during concurrent edits, slowing engineering triage",2023-06-23T01:23:46.735Z
AERIS-6242,low,Forge,"Report scheduler loads with incorrect totals when switching squads, affecting customer reporting",2023-06-23T13:50:26.368Z
AERIS-6021,medium,Forge,"Report scheduler misclassifies priority labels when API latency spikes, impacting weekly operations review",2023-06-24T18:44:53.052Z
AERIS-6314,medium,Horizon,"CSV export times out after 30 seconds during concurrent edits, breaking audit requirements",2023-06-29T14:21:07.196Z
AERIS-6051,medium,Forge,"Audit trail locks up under heavy load when exporting to CSV, affecting customer reporting",2023-06-29T20:21:34.369Z
AERIS-6081,low,Orbit,"Search indexing truncates long values during concurrent edits, slowing engineering triage",2023-07-03T12:11:05.426Z
AERIS-6276,low,Orbit,"CSV export rejects valid payloads when switching squads, causing inaccurate KPIs",2023-07-06T14:26:46.467Z
AERIS-6197,low,Forge,"Webhook processing locks up under heavy load on first load after deploy, breaking audit requirements",2023-07-06T19:42:13.596Z
AERIS-6142,medium,Forge,"Billing webhook returns a 500 error when using Safari, blocking release verification",2023-07-06T22:18:45.777Z
AERIS-6375,low,Orbit,"Release notes sync shows inconsistent sorting when exporting to CSV, affecting customer reporting",2023-07-10T01:20:52.578Z
AERIS-6138,medium,Orbit,"Background worker ignores retry backoff when switching squads, causing inaccurate KPIs",2023-07-11T18:23:51.976Z
AERIS-6062,medium,Orbit,"Dashboard filters ignores retry backoff for read-only users, impacting executive dashboard confidence",2023-07-11T18:59:09.184Z
AERIS-6371,low,Forge,"Release notes sync shows stale data for read-only users, breaking audit requirements",2023-07-15T02:08:35.769Z
AERIS-6227,high,Orbit,"Release notes sync ignores retry backoff for read-only users, impacting weekly operations review",2023-07-15T04:36:55.510Z
AERIS-6332,medium,Orbit,"SAML login duplicates records when exporting to CSV, breaking audit requirements",2023-07-18T01:13:58.432Z
AERIS-5995,low,Orbit,"Role permissions fails silently on first load after deploy, blocking release verification",2023-07-19T19:04:41.310Z
AERIS-5926,medium,Orbit,"Search indexing returns a 500 error on mobile portrait mode, creating noisy support alerts",2023-07-20T02:17:52.812Z
AERIS-5939,medium,Forge,"Mobile layout returns a 500 error after timezone changes, impacting weekly operations review",2023-07-23T15:46:48.232Z
AERIS-5934,medium,Horizon,"Notification center returns a 500 error after timezone changes, blocking release verification",2023-07-26T12:02:50.363Z
AERIS-5972,medium,Forge,"Notification center rejects valid payloads when switching squads, impacting weekly operations review",2023-07-27T05:16:19.854Z
AERIS-6194,low,Forge,"Background worker duplicates records on first load after deploy, affecting customer reporting",2023-07-29T21:18:23.955Z
AERIS-6067,low,Forge,"Audit trail shows inconsistent sorting on mobile portrait mode, breaking audit requirements",2023-07-30T17:02:16.621Z
AERIS-5988,low,Horizon,"Background worker emits malformed timestamps when reconnecting after offline mode, creating noisy support alerts",2023-07-31T03:48:17.490Z
AERIS-6037,low,Forge,"Bug trend chart creates duplicate notifications when using Safari, impacting executive dashboard confidence",2023-08-02T22:32:39.319Z
AERIS-5914,medium,Horizon,"API rate limiter times out after 30 seconds on dashboards with large datasets, impacting weekly operations review",2023-08-03T16:10:52.634Z
AERIS-6132,medium,Orbit,"Repository insights leaks memory over long sessions after timezone changes, breaking audit requirements",2023-08-03T16:14:32.439Z
AERIS-6267,medium,Forge,"Repository insights renders blank state unexpectedly after enabling feature flags, causing inaccurate KPIs",2023-08-03T22:39:00.710Z
AERIS-6385,low,Orbit,"API rate limiter reports incorrect line counts after toggling date level, slowing engineering triage",2023-08-03T23:00:54.222Z
AERIS-6064,low,Orbit,"Webhook processing times out after 30 seconds during peak traffic, slowing engineering triage",2023-08-04T12:24:24.761Z
AERIS-5998,low,Horizon,"PR analytics panel shows stale data for repositories with archived branches, creating noisy support alerts",2023-08-05T23:57:43.118Z
AERIS-6322,medium,Horizon,"Mobile layout emits malformed timestamps during peak traffic, causing inaccurate KPIs",2023-08-07T05:16:21.598Z
AERIS-6391,medium,Forge,"Mobile layout fails silently on first load after deploy, affecting customer reporting",2023-08-07T08:46:04.309Z
AERIS-6325,high,Orbit,"Alert routing loads with incorrect totals after timezone changes, breaking audit requirements",2023-08-09T09:14:15.122Z
AERIS-6362,medium,Horizon,"Dashboard filters misclassifies priority labels after timezone changes, affecting customer reporting",2023-08-12T09:13:10.896Z
AERIS-6300,low,Orbit,"Billing webhook truncates long values for read-only users, breaking audit requirements",2023-08-13T15:03:11.226Z
AERIS-6158,medium,Forge,"API rate limiter fails silently during concurrent edits, impacting weekly operations review",2023-08-14T04:50:30.584Z
AERIS-6306,low,Forge,"Role permissions shows inconsistent sorting after toggling date level, breaking audit requirements",2023-08-14T11:40:07.853Z
AERIS-5976,medium,Forge,"Mobile layout emits malformed timestamps when API latency spikes, impacting executive dashboard confidence",2023-08-20T11:55:14.149Z
AERIS-6222,medium,Orbit,"Webhook processing duplicates records after token refresh, slowing engineering triage",2023-08-26T18:29:39.613Z
AERIS-6121,low,Orbit,"Alert routing resets pagination unexpectedly on first load after deploy, slowing engineering triage",2023-08-27T09:45:13.901Z
AERIS-6042,medium,Forge,"Mobile layout drops user-selected filters after token refresh, affecting customer reporting",2023-08-28T02:52:40.295Z
AERIS-6117,medium,Horizon,"Billing webhook emits malformed timestamps for repositories with archived branches, slowing engineering triage",2023-08-28T09:01:02.444Z
AERIS-6278,low,Forge,"SAML login misclassifies priority labels for read-only users, affecting customer reporting",2023-09-01T03:03:30.594Z
AERIS-6233,low,Horizon,"Mobile layout returns a 500 error during concurrent edits, causing inaccurate KPIs",2023-09-01T03:46:22.766Z
AERIS-6094,low,Horizon,"Embed auth flow shows inconsistent sorting after timezone changes, impacting weekly operations review",2023-09-02T15:30:06.115Z
AERIS-6044,high,Forge,"Audit trail locks up under heavy load on mobile portrait mode, creating noisy support alerts",2023-09-09T08:48:15.174Z
AERIS-6190,low,Orbit,"CSV export shows stale data when using Safari, creating noisy support alerts",2023-09-09T19:29:11.247Z
AERIS-6106,medium,Forge,"Billing webhook drops user-selected filters when using Safari, breaking audit requirements",2023-09-10T00:10:20.106Z
AERIS-6176,medium,Horizon,"Alert routing times out after 30 seconds for read-only users, slowing engineering triage",2023-09-11T06:36:53.915Z
AERIS-6175,low,Horizon,"Background worker emits malformed timestamps for read-only users, breaking audit requirements",2023-09-15T15:23:14.754Z
AERIS-6013,medium,Forge,"Search indexing does not persist settings after toggling date level, impacting weekly operations review",2023-09-21T00:32:43.459Z
AERIS-5945,medium,Horizon,"Audit trail truncates long values during peak traffic, slowing engineering triage",2023-09-21T17:23:35.767Z
AERIS-5910,low,Orbit,"Background worker emits malformed timestamps on mobile portrait mode, blocking release verification",2023-09-22T11:58:12.925Z
AERIS-6317,high,Orbit,"Role permissions reports incorrect line counts when switching squads, creating noisy support alerts",2023-09-25T05:22:05.332Z
AERIS-6000,medium,Forge,"SAML login loads with incorrect totals on mobile portrait mode, slowing engineering triage",2023-09-26T11:40:01.701Z
AERIS-6251,medium,Horizon,"Bug trend chart rejects valid payloads on dashboards with large datasets, affecting customer reporting",2023-09-29T06:24:27.703Z
AERIS-6012,low,Horizon,"Audit trail shows stale data during concurrent edits, impacting weekly operations review",2023-10-01T11:10:32.429Z
AERIS-6363,medium,Orbit,"Notification center does not persist settings when API latency spikes, impacting executive dashboard confidence",2023-10-03T08:33:06.462Z
AERIS-6318,medium,Orbit,"Report scheduler does not persist settings during concurrent edits, impacting weekly operations review",2023-10-03T15:47:56.553Z
AERIS-6104,low,Forge,"API rate limiter rejects valid payloads when reconnecting after offline mode, affecting customer reporting",2023-10-14T00:47:04.437Z
AERIS-6319,medium,Horizon,"Search indexing locks up under heavy load when exporting to CSV, blocking release verification",2023-10-14T07:35:19.703Z
AERIS-5994,medium,Horizon,"Billing webhook leaks memory over long sessions for read-only users, impacting executive dashboard confidence",2023-10-17T09:44:01.783Z
AERIS-6301,low,Forge,"Report scheduler times out after 30 seconds after toggling date level, impacting executive dashboard confidence",2023-10-21T11:13:45.397Z
AERIS-6348,medium,Orbit,"API rate limiter shows inconsistent sorting when reconnecting after offline mode, breaking audit requirements",2023-10-25T04:59:08.333Z
AERIS-6074,medium,Horizon,"Billing webhook creates duplicate notifications after toggling date level, slowing engineering triage",2023-10-31T11:19:23.400Z
AERIS-6324,low,Horizon,"Webhook processing resets pagination unexpectedly for read-only users, causing inaccurate KPIs",2023-11-02T15:29:27.006Z
AERIS-6169,medium,Orbit,"Mobile layout leaks memory over long sessions on dashboards with large datasets, affecting customer reporting",2023-11-03T10:40:50.119Z
AERIS-6285,medium,Forge,"PR analytics panel resets pagination unexpectedly during concurrent edits, impacting weekly operations review",2023-11-03T21:46:18.132Z
AERIS-5978,low,Orbit,"Alert routing rejects valid payloads for read-only users, affecting customer reporting",2023-11-04T08:48:28.637Z
AERIS-5948,low,Forge,"Timezone rendering duplicates records during peak traffic, slowing engineering triage",2023-11-06T18:32:23.426Z
AERIS-6143,low,Orbit,"CSV export returns a 500 error after toggling date level, creating noisy support alerts",2023-11-12T09:57:07.749Z
AERIS-6208,low,Forge,"Report scheduler locks up under heavy load for repositories with archived branches, impacting executive dashboard confidence",2023-11-13T04:05:09.642Z
AERIS-6185,medium,Forge,"Billing webhook duplicates records when using Safari, breaking audit requirements",2023-11-15T03:55:58.450Z
AERIS-6113,low,Horizon,"Background worker shows inconsistent sorting during concurrent edits, slowing engineering triage",2023-11-17T22:03:32.368Z
AERIS-6258,medium,Orbit,"Audit trail renders blank state unexpectedly during peak traffic, impacting weekly operations review",2023-11-19T17:12:10.106Z
AERIS-6112,high,Horizon,"Notification center leaks memory over long sessions on mobile portrait mode, blocking release verification",2023-11-19T18:18:12.346Z
AERIS-6171,low,Horizon,"Background worker times out after 30 seconds when using Safari, affecting customer reporting",2023-11-21T02:34:47.084Z
AERIS-6111,low,Orbit,"Notification center rejects valid payloads when using Safari, impacting executive dashboard confidence",2023-11-22T12:37:16.367Z
AERIS-6060,low,Horizon,"Notification center emits malformed timestamps after toggling date level, impacting weekly operations review",2023-12-01T11:35:18.510Z
AERIS-6297,medium,Horizon,"Release notes sync ignores retry backoff after timezone changes, slowing engineering triage",2023-12-02T12:03:11.732Z
AERIS-6241,low,Orbit,"Role permissions times out after 30 seconds after enabling feature flags, impacting weekly operations review",2023-12-04T03:19:54.838Z
AERIS-5932,medium,Horizon,"Repository insights rejects valid payloads when switching squads, breaking audit requirements",2023-12-04T10:04:30.606Z
AERIS-5935,low,Forge,"Mobile layout times out after 30 seconds on mobile portrait mode, breaking audit requirements",2023-12-05T06:25:27.021Z
AERIS-6178,low,Forge,"Billing webhook shows stale data when exporting to CSV, impacting executive dashboard confidence",2023-12-05T15:14:27.100Z
AERIS-6025,low,Forge,"Role permissions locks up under heavy load during concurrent edits, impacting weekly operations review",2023-12-05T23:10:56.190Z
AERIS-6168,high,Forge,"API rate limiter rejects valid payloads when reconnecting after offline mode, impacting weekly operations review",2023-12-09T00:11:53.883Z
AERIS-6087,low,Forge,"Repository insights does not persist settings for repositories with archived branches, blocking release verification",2023-12-09T07:01:45.629Z
AERIS-6383,medium,Forge,"Background worker ignores retry backoff during peak traffic, impacting weekly operations review",2023-12-09T20:57:02.511Z
AERIS-6219,medium,Forge,"Search indexing resets pagination unexpectedly on mobile portrait mode, creating noisy support alerts",2023-12-10T06:43:46.502Z
AERIS-6118,high,Orbit,"Repository insights times out after 30 seconds when switching squads, impacting weekly operations review",2023-12-11T14:53:31.155Z
AERIS-6349,low,Horizon,"Bug trend chart times out after 30 seconds for read-only users, impacting executive dashboard confidence",2023-12-12T06:41:58.369Z
AERIS-6373,high,Orbit,"Alert routing duplicates records when exporting to CSV, impacting executive dashboard confidence",2023-12-13T08:33:04.646Z
AERIS-6019,low,Orbit,"Alert routing fails silently after enabling feature flags, breaking audit requirements",2023-12-14T22:01:28.992Z
AERIS-5897,medium,Orbit,"Billing webhook drops user-selected filters on mobile portrait mode, breaking audit requirements",2023-12-15T08:50:03.127Z
AERIS-6202,high,Forge,"Billing webhook rejects valid payloads after enabling feature flags, blocking release verification",2023-12-20T16:22:07.457Z
AERIS-6291,low,Forge,"Alert routing creates duplicate notifications during concurrent edits, breaking audit requirements",2023-12-21T03:55:59.978Z
AERIS-6333,low,Orbit,"Webhook processing drops user-selected filters during peak traffic, affecting customer reporting",2023-12-26T17:25:02.351Z
AERIS-6370,low,Orbit,"CSV export misclassifies priority labels after toggling date level, impacting executive dashboard confidence",2023-12-28T01:30:24.055Z
AERIS-6052,medium,Horizon,"Billing webhook ignores retry backoff when switching squads, impacting executive dashboard confidence",2023-12-29T00:45:22.205Z
AERIS-6232,low,Orbit,"Webhook processing rejects valid payloads when API latency spikes, impacting executive dashboard confidence",2023-12-31T12:18:29.529Z
